Categories,id,Title,Content,ctl_story_order
"All Categories|All Religious Events",3118,"Mary Tudor marries Philip II",,1554
"All Categories|All Religious Events|Major Categories|Major Religious Events",3119,"Peace of Augsburg",,1555
"All Categories|All Religious Events|Major Categories|Major Religious Events",3120,"Calvinist Churches in France and the Netherlands",,1555
"All Categories|All Religious Events|Major Categories|Major Religious Events",3121,"England executes Protestants",,1555
"All Categories|All Religious Events",3122,"Mennonites and Waterlanders split",,1555
"All Categories|All Religious Events",3123,"Paul IV becomes the new pope",,1555
"All Categories|All Religious Events",3124,"Charles V abdicates",,1556
"All Categories|All Religious Events",3125,"Ignatius Loyola dies","

",1556
"All Categories|All Religious Events|Major Categories|Major Religious Events",3126,"John Knox publishes",,1558
"All Categories|All Religious Events|Major Categories|Major Religious Events",3127,"Elizabeth I becomes queen of England",,1558
"All Categories|All Religious Events",3128,"Protestants in England",,1559
"All Categories|All Religious Events",3129,"John Knox in Scotland",,1559
"All Categories|All Religious Events",3130,"Francis II king of France",,1559
"All Categories|All Religious Events",3131,Huguenots,,1559
"All Categories|All Religious Events",3132,"Pius IV becomes pope","

",1559
"All Categories|All Religious Events",3133,"Act of Uniformity",,1559
"All Categories|All Religious Events",3134,"Vestiarian controversy",,1560
"All Categories|All Religious Events",3135,"Francis II of France dies","

",1560
"All Categories|All Religious Events",3136,"Scotland Protestant Rule",,1560
"All Categories|All Religious Events",3137,"Colloquy of Poissy",,1561
"All Categories|All Religious Events",3138,"Mary Stuart in Scotland",,1561
"All Categories|All Religious Events",3139,"Frederick III",,1561
"All Categories|All Religious Events|Major Categories|Major Religious Events",3140,"Massacre of Vassy",,1562
"All Categories|All Religious Events|Major Categories|Major Religious Events",3141,"The Council of Trent reconvenes",,1562
"All Categories|All Religious Events|Major Categories|Major Religious Events",3142,"The Council of Trent concludes its work",,1563
"All Categories|All Religious Events",3143,"The Heidelberg Catechism is published","

",1563
"All Categories|All Religious Events|Major Categories|Major Religious Events",3144,"39 Articles",,1563
"All Categories|All Religious Events",3145,"Tridentine canons",,1564
"All Categories|All Religious Events",3146,"John Calvin dies","
",1564
"All Categories|All Religious Events",3147,"Carlo Borromeo becomes the Archbishop of Milan",,1565
"All Categories|All Religious Events",3148,"The Compromise of the Nobility",,1566
"All Categories|All Religious Events",3149,"Pius V becomes pope",,1566
"All Categories|All Religious Events",3150,"Council of Troubles",,1567
"All Categories|All Religious Events",3151,"Mary Stuart abdicates the throne of Scotland",,1567
"All Categories|All Religious Events",3152,"Frisian and Flemish Mennonites split",,1567
"All Categories|All Religious Events",3153,Baianism,,1567
"All Categories|All Religious Events",3154,"Dutch Revolt",,1568
"All Categories|All Religious Events",3156,"English Catholic seminary in France",,1568
"All Categories|All Religious Events",3157,"Synod of Dutch Calvinist",,1571
"All Categories|All Religious Events",3158,"Sea Beggars",,1572
"All Categories|All Religious Events",3159,"St. Bartholomew’s Day massacres",,1572
"All Categories|All Religious Events",3160,"Gregory XIII becomes pope",,1572
"All Categories|All Religious Events|Major Categories|Major Religious Events",3161,"Theresa of Avila",,1572
"All Categories|All Religious Events",3162,"Henry III becomes king of France",,1574
"All Categories|All Religious Events",3163,"Catholic Missionaries in England",,1574
"All Categories|All Religious Events",3164,"Spanish sack Netherlands",,1576
"All Categories|All Religious Events|Major Categories|Major World Events",3166,"Religious Tolerance in the Netherlands",,1577
"All Categories|All Religious Events",3167,"English College in Rome",,1578
"All Categories|All Religious Events",3168,"Union of Utrecht",,1579
"All Categories|All Religious Events",3170,"Act of Abjuration",,1581
"All Categories|All Religious Events",3171,"Matteo Ricci, a Jesuit missionary, enters China","

",1582
"All Categories|All Religious Events",3172,"Catholic mission begins in Holland","

",1582
"All Categories|All Religious Events",3173,"Catholic League in France",,1584
"All Categories|All Religious Events",3174,"William of Orange is assassinated",,1584
"All Categories|All Religious Events",3175,"Southern Netherlands Catholic",,1585
"All Categories|All Religious Events",3177,"Guises family assassinated",,1588
"All Categories|All Religious Events",3178,"Henry III is assassinated",,1589
"All Categories|All Religious Events",3179,"Henry de Navarre converts to Catholicism",,1593
"All Categories|All Religious Events",3180,"Edict of Nantes",,1598
"All Categories|All Religious Events|Major Categories|Major Religious Events",3181,"Molinists and Thomists",,1598
"All Categories|All Religious Events",3182,"Tudor Line",,1603
"All Categories|All Religious Events",3183,"Protestant Union",,1608
"All Categories|All Religious Events",3184,"Catholic League in Germany",,1609
"All Categories|All Religious Events",3185,"Jesuits in South America",,1609
"All Categories|All Religious Events|Major Categories|Major Religious Events",3186,Baptist,,1609
"All Categories|All Religious Events",3187,"Treatise on the Love of God",,1616
"All Categories|All Religious Events|Major Categories|Major Religious Events",3188,Arminianism,,1618
"All Categories|All Religious Events|Major Categories|Major Religious Events",3189,"Defenestration of Prague",,1618
"All Categories|All Religious Events",3190,"Battle of the White Mountain",,1620
"All Categories|All Religious Events",3191,"Sacred Congregation for the Propagation of the Faith",,1622
"All Categories|All Religious Events",3192,"Huguenots lose","
",1629
"All Categories|All Religious Events",3193,"Edict of Restitution",,1629
"All Categories|All Religious Events",3194,"Charles I rules England",,1629
"All Categories|All Religious Events",3195,"Battle of Breitenfeld",,1631
"All Categories|All Religious Events",3196,"Swedish King Gustavus Adolphus dies","

",1632
"All Categories|All Religious Events",3197,"Peace of Prague",,1635
"All Categories|All Religious Events",3198,"Short Parliament & Long Parliament",,1640
"All Categories|All Religious Events",3199,"English Civil War",,1642
"All Categories|All Religious Events|Major Categories|Major Religious Events",3200,"Presbyterian church",,1646
"All Categories|All Religious Events|Major Categories|Major Religious Events",3201,"Westminster Confession accepted",,1647
"All Categories|All Religious Events|Major Categories|Major Religious Events",3202,"Cambridge Platform",,1648
"All Categories|All Religious Events|Major Categories|Major Religious Events",3204,"Charles I is executed",,1649
"All Categories|All Religious Events|Major Categories|Major Religious Events",3205,Quakers,,1650
"All Categories|All Religious Events|Major Categories|Major Religious Events",3206,"Pope condemns Jansenism",,1653
"All Categories|All Religious Events|Major Categories|Major Religious Events",3207,"Tolerant state church in England",,1654
"All Categories|All Religious Events|Major Categories|Major Religious Events",3208,"English Monarchy reestablished",,1660
"All Categories|All Religious Events|Major Categories|Major Religious Events",3209,"Halfway Covenant",,1662
"All Categories|All Religious Events|Major Categories|Major Religious Events",3210,"Pietist movement",,1675
"All Categories|All Religious Events",3211,"Edict of Nantes revoked",,1685
"All Categories|All Religious Events|Major Categories|Major Religious Events",3212,"Quietism condemned",,1687
"All Categories|All Religious Events|Major Categories|Major Religious Events",3213,"Act of Toleration",,1689
"All Categories|All Religious Events",3214,"Madame Guyon’s teachings condemned",,1695
"All Categories|All Religious Events|Major Categories|Major Religious Events",3215,"Deism begins",,1696
"All Categories|All Religious Events",3216,"Semi-Quietist condemned",,1699
"All Categories|All Religious Events",3217,"Monrovian movement",,1722
"All Categories|All Religious Events|Major Categories|Major Religious Events",3218,"Jonathan Edwards ushers in revivals",,1734
"All Categories|All Religious Events|Major Categories|Major Religious Events",3219,"John Wesley begins",,1739
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",3220,"First Great Awakening",,1740
"All Categories|All Religious Events",3221,"Voltaire publishes Philosophical Dictionary",,1764
"All Categories|All Religious Events",3222,"Thomas Paine The Age of Reason",,1794
"All Categories|All Religious Events|Major Categories|Major Religious Events",3223,"Liberal Protestant theology",,1799
"All Categories|All Religious Events",3224,"University of Berlin",,1811
"All Categories|All Ideas|All Religious Events|Major Categories|Major Ideas|Major Religious Events",3225,"Second Great Awakening",,1824
"All Categories|All Religious Events|Major Categories|Major Religious Events",3226,"Dispensationalist theology",,1832
"All Categories|All Religious Events|Major Categories|Major Religious Events",3227,"Holiness tradition",,1836
"All Categories|All Religious Events|Major Categories|Major Religious Events",3228,"Immaculate Conception",,1854
"All Categories|All Religious Events|Major Categories|Major Religious Events",3229,"Syllabus of Errors",,1864
"All Categories|All Religious Events|Major Categories|Major Religious Events",3230,"National Camp Meeting Association for the Promotion of Holiness",,1870
"All Categories|All Religious Events|Major Categories|Major Religious Events",3231,"Keswick movement",,1875
"All Categories|All Religious Events|Major Categories|Major Religious Events",3232,"Aeterni Patris",,1879
"All Categories|All Religious Events|Major Categories|Major Religious Events",3233,"The Quest of the Historical Jesus",,1906
"All Categories|All Religious Events|Major Categories|Major Religious Events",3234,"Azusa Street Revival",,1906
"All Categories|All Religious Events|Major Categories|Major Religious Events",3235,"The Fundamentals",,1910
"All Categories|All Religious Events|Major Categories|Major Religious Events",3236,"Scofield Reference Bible",,1917
"All Categories|All Religious Events|Major Categories|Major Religious Events",3237,"Fundamentalist-Modernist Controversy",,1922
"All Categories|All Religious Events|Major Categories|Major Religious Events",3238,"Christianity and Liberalism",,1923
"All Categories|All Religious Events",3241,"Munificentissimus Deus",,1950
"All Categories|All Religious Events",3242,"Humani Generis",,1950
"All Categories|All Religious Events",3338,"Acacian Schism",,484
"All Categories|All Religious Events|Major Categories|Major Religious Events",3339,"Arian Controversy",,320
"All Categories|All Ideas|All Religious Events",3345,neo-scholasticism,"
",1890
"All Categories|All World Events|Major Categories|Major World Events",3347,"Scientific Revolution",,1543
"All Categories|All People|Major Categories|Major People",3353,"Philipp Jakob Spenser","A.D. 1635–1705

German Lutheran pastor who became one of the founders of Pietism when, in 1675, he published <em>Pia Desideria</em> (“Pious Desires”), calling for reform of the Lutheran church.",1635
"All Categories|All Religious Events",3560,"Nag Hammadi religious texts",,1945
"All World Events|Major World Events",3561,Modernity,,1650
"All Categories|All Religious Events|Major Categories|Major Religious Events",3562,Vulgate,,405
"All Categories|All Religious Events|Major Categories|Major Religious Events",3563,"Mosaic Law",,-1450
"All Categories|All World Events|Major Categories|Major World Events",3564,"High Middle Ages",,1000
"All Categories|All People|Major Categories|Major People",3613,Abelard,,1079
"All Categories|All People",3614,Alcuin,,735
"All Categories|All People|Major Categories|Major People",3617,"Alexander the Great",,-356
"All Categories|All People|Major Categories|Major People",3620,"Alfred the Great",,847
"All Categories|Major Categories|Major People",3632,Ambrose,,340
"All Categories|All People|Major Categories|Major People",3635,"Herod Antipater",,-4
"All Categories|All People|Major Categories|Major People",3639,Averroes,,1126
"All Categories|All People",3642,Avicenna,,980
"All Categories|All People",3679,Bede,,673
"All Categories|All People|Major Categories|Major People",3691,"Bernard of Clairvaux",,1090
"All Categories|All People|Major Categories|Major People",3694,"Bloody Mary",,1516
"All Categories|All People|Major Categories|Major People",3697,Boethius,,477
"All Categories|All People",3700,Bonhoeffer,,1906
"All Categories|All People|Major Categories|Major People",3703,Clovis,,466
"All Categories|All People|Major Categories|Major People",3706,Constantine,,272
"All Categories|All People|Major Categories|Major People",3709,Copernicus,,1473
"All Categories|All People|Major Categories|Major People",3712,Cromwell,,1599
"All Categories|All People",3723,Dawkins,,1971
"All Categories|All People|Major Categories|Major People",3727,"Charles Martel",,688
"All Categories|All People|Major Categories|Major People",3732,Charlemagne,,742
"All Categories|All People",3737,Dennett,,1942
"All Categories|All People",3740,Diocletian,,244
"All Categories|All People|Major Categories|Major People",3744,"Duns Scotus",,1266
"All Categories|All People|Major Categories|Major People",3747,Darwin,,1809
"All Categories|All People|Major Categories|Major People",3750,"Francis of Assisi",,1181
"All Categories|All People|Major Categories|Major People",3753,"Francis Bacon",,1561
"All Categories|All People",3756,"Frederick the Wise",,1463
"All Categories|All People|Major Categories|Major People",3759,Galileo,,
"All Categories|All People",3762,Gratian,,359
"All Categories|All People",3765,"Thomas Jefferson",,1743
"All Categories|All People|Major Categories|Major People",3768,"John the Apostle",,6
"All Categories|All People",3771,"John the Baptist",,-1
"All Categories|All People",3774,"John Newton",,1725
"All Categories|All People",3777,"John Stuart Mill",,1806
"All Categories|All People|Major Categories|Major People",3780,"Joseph Smith",,1805
"All Categories|All People|Major Categories|Major People",3783,Josephus,,37
"All Categories|All People|Major Categories|Major People",3787,Justinian,,482
"All Categories|All People|Major Categories|Major People",3790,"Peter Lombard",,1096
"All Categories|All People",3793,Maimonides,,1135
"All Categories|All People|Major Categories|Major People",3796,Mary,,-18
"All Categories|All People|Major Categories|Major People",3801,"Mary Tudor",,1516
"All Categories|All People|Major Categories|Major People",3804,Medici,,1469
"All Categories|All People|Major Categories|Major People",3807,Muhammad,,570
"All Categories|All People",3810,Pepin,,714
"All Categories|All People|Major Categories|Major People",3813,"Peter the Apostle",,1
"All Categories|All People",3816,"Pontius Pilate",,-20
"All Categories|All People",3819,Pythagoras,,-570
"All Categories|All People|Major Categories|Major People",3823,"Queen Elizabeth",,1533
"All Categories|All People|Major Categories|Major People",3826,Rousseau,,1712
"All Categories|All People",3829,Spinoza,,1632
"All Categories|All People|Major Categories|Major People",3832,Theodosius,,347
"All Categories|All People|Major Categories|Major People",3835,"Theodosius II",,401
"All Categories|All People",3843,Valentinian,,321
"All Categories|All People",3846,Vespasian,,9
"All Categories|All People",3849,"William of Ockham",,1287
"All Categories|All People",3852,Zeno,,-495
"All Categories|All People",3857,"Rowan Williams",,1950
"All Categories|All People|Major Categories|Major People",3883,Abraham,,-1800
"All Categories|All People|Major Categories|Major People",3886,Adam,,-20000
"All Categories|All People|Major Categories|Major People",3889,"Alexander VI",,1431
"All Categories|All People|Major Categories|Major People",3903,Benedict,,480
"All Categories|All People|Major Categories|Major People",3907,"Billy Graham",,1918
"All Categories|All People|Major Categories|Major People",3917,Cyprian,,210
"All Categories|All People|Major Categories|Major People",3918,"Clement of Rome",,35
"All Categories|All People|Major Categories|Major People",3922,"Daniel the Prophet",,-615
"All Categories|All People|Major Categories|Major People",3925,David,,-1000
"All Categories|All People|Major Categories|Major People",3928,Donatus,,280
"All Categories|All People|Major Categories|Major People",3931,"Desiderius Erasmus",,1466
"All Categories|All People|Major Categories|Major People",3934,"Eusebius of Caesarea",,263
"All Categories|All People|Major Ideas|Major People",3937,Eve,,-19098
"All Categories|All People|Major Categories|Major People",3940,"Ludwig Angreas von Feuerbach",,1804
"All Categories|All People|Major Categories|Major People",3943,"George Fox",,1624
"All Categories|All People|Major Categories|Major People",3946,"George Whitefield",,1714
"All Categories|All People|Major Categories|Major People",3951,"Gregory the Great",,604
"All Categories|All People|Major Categories|Major People",3961,"Sam Harris",,1967
"All Categories|All People|Major Categories|Major People",3964,"Henry VIII",,1491
"All Categories|All People|Major Categories|Major People",3967,"John Huss",,1369
"All Categories|All People|Major Categories|Major People",3970,"Ignatius of Loyola",,1556
"All Categories|All People|Major Categories|Major People",3982,Jerome,,347
"All Categories|All People|Major Categories|Major People",3985,Jesus,,-4
"All Categories|All People|Major Categories|Major People",3989,"John Knox",,1513
"All Categories|All People|Major Categories|Major People",3994,"Leo the Great",,461
"All Categories|All People|Major Categories|Major People",3997,Moses,,-1400
"All Categories|All People|Major Categories|Major People",4000,Nero,,15
"All Categories|All People|Major Categories|Major People",4003,"Francesco Petrarca",,1304
"All Categories|All People|Major Categories|Major People",4006,Sabellius,,215
"All Categories|All People|Major Categories|Major People",4009,"John Wycliffe",,1330
"All Categories|All World Events",4224,"9/11 Terrorist Attacks",,2001
"All Categories|All World Events|Major Categories|Major World Events",4227,"Adolph Hitler",,1933
"All Categories|All World Events|Major Categories|Major World Events",4229,"American Civil War",,1861
"All Categories|All World Events|Major Categories|Major World Events",4231,"American Independence",,1781
"All Categories|All World Events|Major Categories|Major World Events",4233,"American Revolution",,1775
"All Categories|All People|Major Categories|Major People",4234,"Moses Amyraut",,1596
"All Categories|All Religious Events",4236,Anabaptists,,1525
"All Categories|All People|Major Categories|Major People",4240,Arminius,,1560
"All Categories|All People",4241,Arndt,,1555
"All Categories|All Religious Events|Major Categories|Major Religious Events",4258,"Book of Concord",,1580
"All Categories|All World Events",4269,Brexit,,2016
"All Categories|All World Events",4271,"British Conquest of India",,1757
"All Categories|All Religious Events",4302,"Charismatic movement",,1980
"All Categories|All World Events",4304,"Cold War",,1947
"All Categories|All World Events",4306,"Cold War Ends",,1991
"All Categories|All Religious Events|Major Categories|Major Religious Events",4320,Enlightenment,,1650
"All Categories|All World Events|Major Categories|Major World Events",4321,Enlightenment,,1650
"All Categories|All World Events",4322,"EU Consolidation",,2007
"All Categories|All World Events",4324,"European Economic Community",,1958
"All Categories|All World Events",4325,"European Steel and Coal Community",,1952
"All Categories|All World Events",4326,"European Union",,1993
"All Categories|All People",4329,"Charles Grandison Finney",,1792
"All Categories|All World Events|Major Categories|Major World Events",4331,"First Industrial Revolution",,1760
"All Categories|All World Events|Major Categories|Major World Events",4333,"Second Industrial Revolution",,1870
"All Categories|All World Events",4335,"First Person on the Moon",,1969
"All Categories|All World Events",4337,"First Person in Space",,1961
"All Categories|All World Events",4339,"French and Indian War",,1754
"All Categories|All World Events|Major Categories|Major World Events",4340,"French Empire",,1804
"All Categories|All World Events",4341,"French Empire Ends",,1814
"All Categories|All World Events|Major Categories|Major World Events",4342,"French Revolution",,1789
"All Categories|All Religious Events",4343,Fundamentalism,,1920
"All Categories|All World Events|Major Categories|Major World Events",4346,"Great Depression",,1929
"All Categories|All World Events|Major Categories|Major World Events",4347,"Great Recession",,2007
"All Categories|All World Events",4357,"Independence of Spanish Colonies",,1808
"All Categories|All World Events|Major Categories|Major World Events",4359,"Information Age",,1991
"All Categories|All Religious Events",4375,"Landmark Movement",,1850
"All Categories|All Ideas|Major Categories|Major Ideas",4376,"liberal theology",,1960
"All Categories|All World Events|Major Categories|Major World Events",4461,"Egypt, Kingdom ends",,-1690
"All Categories|All Ideas|Major Categories|Major Ideas",4469,"Peace of Augsburg",,1555
"All Categories|All Ideas|Major Categories|Major Ideas",4471,"Peace of Westphalia -- copy",,1648
"All Categories|All Religious Events|Major Categories|Major Religious Events",4472,"Pietist movement",,1675
"All Categories|All Religious Events|Major Categories|Major Religious Events",4480,"Spanish Inquisition Ends",,1834
"All Categories|All World Events",4481,"Spanish-American War",,1898
"All Categories|All World Events|Major Categories|Major World Events",4485,"World War I",,1914
"All Categories|All World Events|Major Categories|Major World Events",4488,"World War II",,1939
"All Categories|All Religious Events",4489,"Zwickau prophets",,1521
"All Categories|All Ideas|Major Categories|Major Ideas",4655,Reformation,,1502
"All Categories|All World Events",4909,"Ottoman Empire Ends",,1923
"All Categories|All World Events",4912,"Ottoman Caliphate Ends",,1924
"All Categories|All World Events|Major Categories|Major World Events",5011,"Middle Assyrian Empire",,1392
